Name,Author,Reviews,Price,Year,Genre,Read
10-Day Green Smoothie Cleanse,JJ Smith,17350,8,2016,Non Fiction,No
11/22/63: A Novel,Stephen King,2052,22,2011,Fiction,No
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,18979,15,2018,Non Fiction,No
1984 (Signet Classics),George Orwell,21424,6,2017,Fiction,No
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,7665,12,2019,Non Fiction,No
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,12643,11,2011,Fiction,No
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,19735,30,2014,Fiction,No
A Gentleman in Moscow: A Novel,Amor Towles,19699,15,2017,Fiction,No
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,5983,3,2018,Non Fiction,No
A Man Called Ove: A Novel,Fredrik Backman,23848,8,2016,Fiction,No
A Man Called Ove: A Novel,Fredrik Backman,23848,8,2017,Fiction,No
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,460,2,2010,Non Fiction,No
A Stolen Life: A Memoir,Jaycee Dugard,4149,32,2011,Non Fiction,No
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,5153,5,2018,Fiction,No
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,5013,17,2009,Non Fiction,No
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,2313,4,2016,Non Fiction,No
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,2925,6,2015,Non Fiction,No
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,2951,6,2015,Non Fiction,No
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,2426,8,2015,Non Fiction,No
Alexander Hamilton,Ron Chernow,9198,13,2016,Non Fiction,No
All the Light We Cannot See,Anthony Doerr,36348,14,2014,Fiction,No
All the Light We Cannot See,Anthony Doerr,36348,14,2015,Fiction,No
Allegiant,Veronica Roth,6310,13,2013,Fiction,No
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,15921,9,2015,Non Fiction,No
And the Mountains Echoed,Khaled Hosseini,12159,13,2013,Fiction,No
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,798,5,2009,Non Fiction,No
Astrophysics for People in a Hurry,Neil deGrasse Tyson,9374,9,2017,Non Fiction,No
"Autobiography of Mark Twain, Vol. 1",Mark Twain,491,14,2010,Non Fiction,No
Baby Touch and Feel: Animals,DK,5360,5,2015,Non Fiction,No
Balance (Angie's Extreme Stress Menders),Angie Grace,1909,11,2015,Non Fiction,No
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,1296,24,2012,Non Fiction,No
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,615,21,2010,Non Fiction,No
Becoming,Michelle Obama,61133,11,2018,Non Fiction,No
Becoming,Michelle Obama,61133,11,2019,Non Fiction,No
Being Mortal: Medicine and What Matters in the End,Atul Gawande,11113,15,2015,Non Fiction,No
Between the World and Me,Ta-Nehisi Coates,10070,13,2015,Non Fiction,No
Between the World and Me,Ta-Nehisi Coates,10070,13,2016,Non Fiction,No
Born to Run,Bruce Springsteen,3729,18,2016,Non Fiction,No
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,9769,13,2009,Fiction,No
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,471,8,2010,Non Fiction,No
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,14344,5,2017,Fiction,No
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,14344,5,2019,Fiction,No
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4505,0,2011,Fiction,No
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,10369,4,2016,Non Fiction,No
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,16244,18,2019,Non Fiction,No
Capital in the Twenty First Century,Thomas Piketty,2884,28,2014,Non Fiction,No
Catching Fire (The Hunger Games),Suzanne Collins,22614,11,2010,Fiction,No
Catching Fire (The Hunger Games),Suzanne Collins,22614,11,2011,Fiction,No
Catching Fire (The Hunger Games),Suzanne Collins,22614,11,2012,Fiction,No
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4761,16,2016,Non Fiction,No
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,1542,14,2009,Non Fiction,No
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,1542,14,2010,Non Fiction,No
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,1542,14,2011,Non Fiction,No
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,6143,8,2018,Fiction,No
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4022,4,2015,Non Fiction,No
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,3871,5,2015,Non Fiction,No
Cutting for Stone,Abraham Verghese,4866,11,2010,Fiction,No
Cutting for Stone,Abraham Verghese,4866,11,2011,Fiction,No
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,1329,10,2013,Non Fiction,No
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4642,13,2013,Non Fiction,No
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,1541,4,2009,Fiction,No
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,1924,8,2010,Fiction,No
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,2094,4,2011,Fiction,No
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,10922,5,2015,Fiction,No
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,10922,5,2016,Fiction,No
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,10922,5,2017,Fiction,No
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,10922,5,2018,Fiction,No
Decision Points,George W. Bush,2137,17,2010,Non Fiction,No
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,1651,15,2010,Non Fiction,No
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,6679,105,2013,Non Fiction,No
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,6679,105,2014,Non Fiction,No
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,6812,0,2013,Fiction,No
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,3837,15,2009,Fiction,No
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,6540,22,2014,Fiction,No
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,7955,5,2019,Non Fiction,No
Divergent,Veronica Roth,27098,15,2013,Fiction,No
Divergent,Veronica Roth,27098,15,2014,Fiction,No
Divergent / Insurgent,Veronica Roth,17684,6,2014,Fiction,No
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,37,6,2009,Non Fiction,No
Doctor Sleep: A Novel,Stephen King,15845,13,2013,Fiction,Yes
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,3181,12,2009,Fiction,No
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,5062,6,2018,Fiction,No
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4786,8,2017,Fiction,No
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,7235,4,2018,Fiction,No
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,7235,4,2019,Fiction,No
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,12619,8,2019,Fiction,No
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,9089,8,2019,Fiction,No
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,5470,6,2018,Fiction,No
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,5118,20,2016,Fiction,No
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,2134,5,2015,Non Fiction,No
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2525,16,2010,Non Fiction,No
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,720,1,2009,Non Fiction,No
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,956,14,2009,Non Fiction,No
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,6346,9,2011,Non Fiction,No
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,6346,9,2012,Non Fiction,No
Eclipse (Twilight Sagas),Stephenie Meyer,5505,7,2009,Fiction,No
Eclipse (Twilight),Stephenie Meyer,5505,18,2009,Fiction,No
Educated: A Memoir,Tara Westover,28729,15,2018,Non Fiction,No
Educated: A Memoir,Tara Westover,28729,15,2019,Non Fiction,No
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,5413,9,2015,Non Fiction,No
Fahrenheit 451,Ray Bradbury,10721,8,2016,Fiction,No
Fahrenheit 451,Ray Bradbury,10721,8,2018,Fiction,No
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4370,15,2016,Fiction,No
Fear: Trump in the White House,Bob Woodward,6042,2,2018,Non Fiction,No
Fifty Shades Darker,E L James,23631,7,2012,Fiction,No
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,20262,11,2012,Fiction,No
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,47265,14,2012,Fiction,No
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,47265,14,2013,Fiction,No
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,13964,32,2012,Fiction,No
Fire and Fury: Inside the Trump White House,Michael Wolff,13677,6,2018,Non Fiction,No
First 100 Words,Roger Priddy,17323,4,2014,Non Fiction,No
First 100 Words,Roger Priddy,17323,4,2015,Non Fiction,No
First 100 Words,Roger Priddy,17323,4,2016,Non Fiction,No
First 100 Words,Roger Priddy,17323,4,2017,Non Fiction,No
First 100 Words,Roger Priddy,17323,4,2018,Non Fiction,No
Food Rules: An Eater's Manual,Michael Pollan,1555,9,2010,Non Fiction,No
Frozen (Little Golden Book),RH Disney,3642,0,2014,Fiction,No
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,1215,9,2010,Non Fiction,No
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,5594,5,2011,Fiction,No
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,5594,5,2012,Fiction,No
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,5594,5,2013,Fiction,No
George Washington's Sacred Fire,Peter A. Lillback,408,20,2010,Non Fiction,No
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4799,16,2013,Non Fiction,No
Giraffes Can't Dance,Giles Andreae,14038,4,2015,Fiction,No
Giraffes Can't Dance,Giles Andreae,14038,4,2016,Fiction,No
Giraffes Can't Dance,Giles Andreae,14038,4,2017,Fiction,No
Giraffes Can't Dance,Giles Andreae,14038,4,2018,Fiction,No
Giraffes Can't Dance,Giles Andreae,14038,4,2019,Fiction,No
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,7660,12,2019,Non Fiction,No
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,22288,12,2018,Non Fiction,No
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,22288,12,2019,Non Fiction,No
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,1365,11,2009,Non Fiction,No
Go Set a Watchman: A Novel,Harper Lee,14982,19,2015,Fiction,No
Go the F**k to Sleep,Adam Mansbach,9568,9,2011,Fiction,No
Going Rogue: An American Life,Sarah Palin,1636,6,2009,Non Fiction,No
Gone Girl,Gillian Flynn,57271,10,2012,Fiction,No
Gone Girl,Gillian Flynn,57271,10,2013,Fiction,No
Gone Girl,Gillian Flynn,57271,9,2014,Fiction,No
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,10141,6,2019,Non Fiction,No
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,3457,14,2009,Non Fiction,No
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,3457,14,2010,Non Fiction,No
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,3457,14,2011,Non Fiction,No
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,3457,14,2012,Non Fiction,No
Goodnight Moon,Margaret Wise Brown,8837,5,2017,Fiction,No
Goodnight Moon,Margaret Wise Brown,8837,5,2018,Fiction,No
Goodnight Moon,Margaret Wise Brown,8837,5,2019,Fiction,No
